(0,0,M)
(0,1,B)
(0,2,B)
(0,3,B)
(0,4,B)
(0,5,K)
(0,6,B)
(0,7,B)
(0,8,K)
(0,9,K)
(0,10,B)
(0,11,K)
(0,12,B)
(0,13,B)
(0,14,B)
(0,15,B)
(0,16,K)
(0,17,K)
(0,18,B)
(0,19,K)
(0,20,B)
(0,21,B)
(0,22,K)
(0,23,B)
(0,24,B)
(1,0,B)
(1,1,B)
(1,2,K)
(1,3,K)
(1,4,K)
(1,5,K)
(1,6,K)
(1,7,B)
(1,8,K)
(1,9,B)
(1,10,K)
(1,11,B)
(1,12,B)
(1,13,K)
(1,14,B)
(1,15,B)
(1,16,B)
(1,17,K)
(1,18,K)
(1,19,K)
(1,20,K)
(1,21,B)
(1,22,B)
(1,23,K)
(1,24,B)
(2,0,K)
(2,1,K)
(2,2,B)
(2,3,B)
(2,4,B)
(2,5,K)
(2,6,K)
(2,7,B)
(2,8,B)
(2,9,B)
(2,10,B)
(2,11,B)
(2,12,K)
(2,13,B)
(2,14,B)
(2,15,K)
(2,16,B)
(2,17,B)
(2,18,B)
(2,19,B)
(2,20,B)
(2,21,B)
(2,22,B)
(2,23,K)
(2,24,B)
(3,0,B)
(3,1,B)
(3,2,B)
(3,3,B)
(3,4,B)
(3,5,K)
(3,6,B)
(3,7,B)
(3,8,K)
(3,9,B)
(3,10,B)
(3,11,B)
(3,12,B)
(3,13,K)
(3,14,B)
(3,15,B)
(3,16,B)
(3,17,B)
(3,18,B)
(3,19,K)
(3,20,B)
(3,21,K)
(3,22,B)
(3,23,B)
(3,24,B)
(4,0,B)
(4,1,B)
(4,2,B)
(4,3,B)
(4,4,B)
(4,5,B)
(4,6,B)
(4,7,B)
(4,8,K)
(4,9,B)
(4,10,B)
(4,11,B)
(4,12,B)
(4,13,B)
(4,14,B)
(4,15,B)
(4,16,K)
(4,17,B)
(4,18,B)
(4,19,K)
(4,20,B)
(4,21,B)
(4,22,K)
(4,23,B)
(4,24,K)
(5,0,B)
(5,1,K)
(5,2,B)
(5,3,B)
(5,4,B)
(5,5,B)
(5,6,B)
(5,7,K)
(5,8,K)
